gamma_trade,gamma_risk,gamma_hold,seed,excess_return,excess_risk,sharpe
50,50.0,1000.0,0,8.59493690424396,10.745813447669732,0.7998405096179855
10,35.0,1000.0,0,8.506872031879121,10.784519832529845,0.7888039675368254
500,300.0,10000.0,0,8.736865993249523,10.81706462118029,0.8076928722550436
10,200.0,10000.0,0,7.905972568610283,10.850176210812396,0.7286492325103291
1,200.0,10000.0,0,7.9288594545087285,10.886705106181411,0.7283066251153222
100,25.0,1.0,0,13.789328740478805,10.929380663044109,1.261675218899195
100,25.0,10.0,0,12.798198847915469,10.94828655728751,1.168968201640338
100,25.0,0.1,0,13.864546709843935,10.955950168436837,1.2654809940434484
500,200.0,10000.0,0,8.923382657142486,11.128187705067706,0.8018720472407951
50,25.0,100.0,0,10.493475543184555,11.160569120107345,0.9402276380582666
500,75.0,100.0,0,9.980646194583374,11.250230821533334,0.8871503485492999
100,50.0,1000.0,0,9.64995947739508,11.296442563367629,0.8542476468377928
1,25.0,1000.0,0,9.003541194948532,11.396818913104799,0.790004760415705
50,100.0,10000.0,0,8.916800600609019,11.460096816216533,0.778073758329106
10,25.0,1000.0,0,9.25746741083791,11.478481667192085,0.8065062679237184
10,100.0,10000.0,0,8.861505044387883,11.572528923217227,0.7657362624179413
1,100.0,10000.0,0,8.627829667414867,11.591645412837144,0.7443144920444162
100,100.0,10000.0,0,9.374190430136577,11.704448941111979,0.8009083107885286
500,100.0,1000.0,0,10.006434545707286,11.706615703217546,0.8547674921076492
500,50.0,0.1,0,11.431834183944686,11.717639975396839,0.9756089287559396
100,25.0,100.0,0,11.316033152303438,11.725786317686323,0.9650553784384726
500,50.0,1.0,0,11.412952884210576,11.727018577319532,0.9732186240655941
50,75.0,10000.0,0,9.565167675047261,11.791047118330468,0.8112229201575462
500,50.0,10.0,0,11.349896778775724,11.795540232779826,0.962219326524303
1,75.0,10000.0,0,8.971939904319996,11.82774783392237,0.7585501509076966
50,35.0,1000.0,0,9.914243870329319,11.871785448268893,0.8351097577976346
10,75.0,10000.0,0,9.25737191430132,11.905466754280466,0.7775732027451124
100,75.0,10000.0,0,9.847779863754708,11.92073194363435,0.8261053021172416
100,35.0,1000.0,0,10.708692690017001,12.018564963409135,0.8910125894913347
50,50.0,10000.0,0,9.901935910753577,12.09739209789203,0.8185182253023765
1,50.0,10000.0,0,9.535861525973704,12.128780218214372,0.7862176867260933
500,50.0,100.0,0,10.427711592547128,12.247840285027873,0.8513918658209705
10,50.0,10000.0,0,9.840082633694388,12.27621098181972,0.8015569827096422
500,75.0,1000.0,0,10.15465882354856,12.294158844867733,0.8259742656397905
1,0.1,0.1,0,1.1951485183153001,12.332707073348002,0.09690885473945252
100,50.0,10000.0,0,10.317089614518663,12.405943927181063,0.8316247175609282
50,25.0,1000.0,0,10.684645033258903,12.465660781856739,0.8571262462724775
500,35.0,0.1,0,11.248056263872543,12.522554869752211,0.8982237555246674
500,35.0,1.0,0,11.188377068460342,12.535947117081403,0.8925035311624065
500,100.0,10000.0,0,10.879625546725824,12.538377133458528,0.8677060381038992
1,35.0,10000.0,0,9.885878401184375,12.587269887248233,0.7853870211521758
500,35.0,10.0,0,11.018706303620494,12.594056032510776,0.8749132348765469
10,35.0,10000.0,0,10.192866079363435,12.654737844356992,0.8054584934691985
100,35.0,10000.0,0,10.877147657988626,12.681527308101566,0.8577159039069201
1,1.0,1.0,0,2.706060243213376,12.83307775189324,0.2108660366227545
50,35.0,10000.0,0,10.569748824148398,12.842482855266843,0.8230300124413737
500,35.0,100.0,0,10.45918754240982,12.862713549812753,0.8131400502627284
1,25.0,10000.0,0,10.325445853981783,12.926407544898717,0.7987869652196307
500,75.0,10000.0,0,9.977847699641302,12.934868640925954,0.7713914981765929
100,25.0,1000.0,0,10.722009504911204,12.941083596976505,0.8285248622778579
1,0.1,1.0,0,-12.610920169646779,12.964071541210988,-0.9727592237946551
500,50.0,1000.0,0,10.43187239120284,12.990687251374073,0.8030269830489085
1,10.0,10.0,0,11.215858569735156,13.010514488294454,0.8620611106367894
50,25.0,10000.0,0,10.854674542145682,13.015230322488412,0.8339978834942624
100,25.0,10000.0,0,10.885814342842691,13.028876743977666,0.8355144159203469
10,10.0,10.0,0,12.237391432513125,13.040258205434844,0.9384316813153972
10,25.0,10000.0,0,10.141611929997149,13.065418615652725,0.776217909914285
500,25.0,0.1,0,10.986863659145166,13.092979443437201,0.8391415954335958
500,25.0,1.0,0,10.953219608810716,13.095134714403892,0.8364342824791873
500,25.0,10.0,0,10.711243223789086,13.160662244750839,0.8138833004441924
1,10.0,100.0,0,11.22479865119134,13.196992051641491,0.8505573548326233
50,10.0,0.1,0,14.52773811723946,13.2252542669669,1.0984845980259006
500,50.0,10000.0,0,10.035474929643865,13.2996034469829,0.7545694854473632
500,25.0,100.0,0,10.391671389606346,13.314312076629035,0.7804887950498863
50,10.0,1.0,0,13.896151309704091,13.353073240099302,1.0406706426183543
10,10.0,100.0,0,11.729086074641549,13.36691575190953,0.8774713847482722
10,10.0,1.0,0,16.23969780781075,13.436793513745343,1.2085991937881713
50,10.0,10.0,0,12.251320312970423,13.454954873865676,0.9105433966758862
500,35.0,1000.0,0,10.39429423866351,13.495426027040711,0.7702086779503308
10,10.0,0.1,0,16.339371479058045,13.502736063895403,1.210078564947103
500,35.0,10000.0,0,9.986802467941509,13.544359324646829,0.7373403369304008
10,10.0,1000.0,0,10.814926497254296,13.549187295069885,0.7981974314569776
1,10.0,1000.0,0,11.047657002173109,13.580470606487143,0.8134958884926893
100,10.0,0.1,0,12.773866222140503,13.622557519388126,0.9376995622121812
100,10.0,1.0,0,12.662209486484118,13.631244652341557,0.9289107348175296
1,10.0,0.1,0,14.997728496438063,13.705042327240623,1.094321939205401
100,10.0,10.0,0,11.923832733610032,13.710556384064805,0.8696826299090673
500,25.0,10000.0,0,9.89607208474754,13.749035269886747,0.7197648337132425
100,10.0,100.0,0,11.75919898162143,13.749792037885841,0.8552274062924312
50,10.0,100.0,0,12.365775488827445,13.82051295486891,0.8947407038514467
500,25.0,1000.0,0,10.490380775724164,13.830089981839551,0.7585186205946023
50,10.0,10000.0,0,10.717154184613497,13.999129847149982,0.765558595543376
500,10.0,0.1,0,10.52876160099319,14.035340794068548,0.7501607374893764
1,10.0,1.0,0,15.05809290922884,14.041677886106271,1.0723855817920644
500,10.0,1.0,0,10.47879428358851,14.051568901762622,0.7457383838664489
500,10.0,10.0,0,10.397013332569033,14.057378285338785,0.7396125452078537
500,10.0,10000.0,0,9.683531904930458,14.07386727786892,0.6880505346357614
